P0,P9
P6,P19
P0,P4
P5,P17
P15,P17
P2,P19
P14,P19
P7,P12
P11,P18
P17,P18
P8,P17
P5,P13
P6,P15
P3,P16
P13,P16
P7,P10
P8,P11
P7,P14
P5,P14
P9,P14
P6,P12
P5,P16
P1,P6
P14,P18
P1,P8
P16,P19
P3,P19
P8,P9
P12,P19
P3,P8
P4,P17
P1,P17
P11,P13
P8,P19
P3,P11
P1,P16
P3,P18
P5,P18
P3,P17
P9,P17
P0,P8
P2,P16
P4,P11
P0,P7
P10,P19
P11,P17
P2,P9
P10,P16
P2,P15
P2,P17
P4,P18
P1,P19
P3,P15
P1,P4
P10,P15
P12,P17
P2,P3
P9,P11
P11,P16
P3,P4
P1,P2
P5,P10
P11,P14
P7,P19
P0,P6
P2,P5
P13,P15
P6,P11
P1,P13
P13,P14
P8,P10
P9,P12
P0,P3
P0,P19
P9,P19
P9,P15
P7,P18
P6,P14
P10,P14
P3,P9
P2,P7
P15,P18
P2,P11
P5,P6
P9,P18
P4,P19
P0,P15
P0,P12
P6,P7
P12,P18
P7,P9
P5,P8
P4,P9
P7,P8
P7,P11
