94,0,16,51,54,54,74,21,43,61,100,29,36,0,59,42,54,51,46,0,64,25,0,32,0,22,17,57,39,16,11,52,26,55,47,225,140,43,30,132,92
21,0,6,8,12,5,19,5,6,20,13,5,8,0,10,4,6,9,12,0,8,4,0,6,0,7,3,6,14,3,3,6,8,10,7,32,23,11,7,26,19
88,0,14,59,58,55,76,24,53,57,95,33,53,0,61,41,55,51,50,0,71,26,0,36,0,19,18,61,38,16,12,57,32,56,52,227,146,45,35,135,105
52,0,5,18,17,51,47,16,50,15,65,27,28,0,31,18,13,44,36,0,45,13,0,29,0,5,3,23,13,3,3,19,10,21,19,184,109,15,10,106,75
39,0,15,27,23,51,64,19,65,15,96,24,28,0,27,17,20,55,50,0,58,8,0,25,0,4,5,30,14,3,6,25,16,31,24,194,118,16,15,117,106
74,0,5,25,30,65,76,24,37,20,102,28,22,0,57,23,58,51,63,0,66,25,0,22,0,18,6,47,31,8,4,27,16,46,32,238,137,30,13,140,78
21,0,6,3,6,22,14,5,18,15,39,10,2,0,13,11,11,22,10,0,15,5,0,8,0,7,1,10,12,1,0,4,4,16,5,84,37,7,3,43,20
20,0,8,9,13,11,9,4,4,8,7,3,7,0,13,11,8,9,7,0,7,6,0,4,0,2,2,8,8,2,4,7,9,10,8,31,21,6,8,23,17
94,0,16,51,54,54,74,21,43,61,100,29,36,0,59,42,54,51,46,0,64,25,0,32,0,22,17,57,39,16,11,52,26,55,47,225,140,43,30,132,92
46,0,18,21,23,44,58,23,66,14,93,21,29,0,29,13,21,55,56,0,45,8,0,22,0,8,9,23,17,3,3,23,15,28,21,186,117,19,11,118,102
54,0,2,29,33,56,53,23,59,35,97,33,37,0,40,15,18,68,55,0,49,18,0,24,0,14,8,27,26,6,5,37,14,33,33,214,126,23,16,126,88
88,0,2,27,19,84,90,32,86,19,125,56,43,0,53,17,17,72,69,0,77,27,0,45,0,9,6,38,14,3,2,32,9,34,28,341,193,22,10,183,122
41,0,13,16,20,4,23,11,15,12,27,6,13,0,19,11,15,19,19,0,19,3,0,5,0,6,8,12,12,4,4,15,13,16,15,60,43,12,9,45,35
22,0,3,25,32,29,17,11,42,29,67,12,36,0,23,15,17,54,27,0,30,7,0,14,0,9,5,18,25,6,4,29,18,23,29,113,67,19,19,70,56
21,0,6,6,12,17,23,6,17,24,43,10,4,0,12,9,8,20,16,0,13,6,0,10,0,9,2,8,17,3,2,7,6,14,9,77,39,12,5,45,26
36,0,5,9,13,19,23,16,25,5,45,8,12,0,16,8,11,24,22,0,26,13,0,15,0,6,3,13,10,3,1,11,7,14,9,107,57,9,9,55,35
26,0,2,30,46,28,12,10,40,52,72,4,38,0,24,16,20,74,34,0,28,2,0,10,0,18,8,16,40,10,6,40,20,28,38,92,66,26,24,74,60
23,0,7,14,20,9,13,8,23,8,38,16,14,0,21,9,10,24,18,0,16,8,0,10,0,1,2,13,10,2,5,17,10,14,13,81,46,9,14,41,29
93,0,3,29,20,97,95,33,73,19,137,46,38,0,60,22,41,75,76,0,82,27,0,41,0,17,4,48,24,7,2,27,13,41,28,348,198,28,15,190,115
19,0,3,16,24,22,11,7,26,34,39,6,21,0,16,11,15,42,21,0,20,1,0,8,0,13,5,12,26,5,3,20,12,22,19,65,42,16,13,50,37
62,0,5,17,14,44,48,16,48,13,70,26,29,0,32,13,13,47,33,0,46,13,0,27,0,5,3,23,11,3,1,18,9,19,17,193,112,15,10,105,70
77,0,1,24,13,67,77,24,75,16,107,44,35,0,46,15,14,58,57,0,64,21,0,36,0,7,4,33,10,3,1,26,7,25,23,287,165,19,9,153,97
28,0,8,28,24,24,35,11,35,13,55,18,25,0,21,19,17,30,21,0,44,6,0,16,0,1,4,25,11,4,7,23,18,24,25,115,66,12,16,66,59
23,0,7,12,20,21,17,9,34,12,68,21,10,0,23,14,12,35,22,0,21,10,0,14,0,3,1,15,13,2,4,18,8,18,15,126,62,10,12,60,36
34,0,10,22,20,11,29,7,14,13,30,9,12,0,17,15,14,19,13,0,32,3,0,8,0,2,4,19,9,4,7,17,14,19,18,68,44,9,13,44,39
33,0,10,24,31,56,46,19,72,31,108,18,39,0,29,13,20,79,56,0,44,9,0,23,0,12,6,23,28,5,3,31,16,30,28,192,119,23,18,121,103
29,0,11,19,17,57,51,20,74,8,103,26,37,0,28,12,17,59,49,0,46,14,0,27,0,3,3,25,13,1,1,20,14,25,19,213,120,16,13,117,99
60,0,2,28,32,56,49,19,67,36,100,27,44,0,37,18,19,78,48,0,56,11,0,31,0,13,6,27,28,7,3,35,15,29,33,219,133,25,18,131,94
30,0,8,4,10,28,18,6,24,14,72,12,0,0,18,16,12,34,12,0,18,10,0,10,0,6,0,12,12,2,0,8,4,16,10,130,56,8,4,60,26
36,0,6,19,34,17,32,11,33,16,61,22,19,0,36,17,32,35,34,0,38,13,0,16,0,5,5,27,22,4,6,29,14,30,28,124,73,20,14,74,50
75,0,4,22,28,52,67,19,58,21,93,32,34,0,47,21,35,58,49,0,68,18,0,33,0,9,6,37,23,5,2,30,13,35,32,236,139,26,10,138,91
40,0,7,23,23,26,42,19,37,12,63,15,16,0,19,17,17,31,31,0,50,10,0,21,0,6,5,24,13,5,6,22,13,25,21,135,77,12,14,77,62
56,0,9,23,19,27,52,19,42,15,64,24,19,0,33,13,16,30,43,0,37,11,0,14,0,8,9,22,11,4,4,23,11,22,21,154,96,16,8,93,62
34,0,2,20,31,31,24,19,44,28,75,9,27,0,21,13,17,55,37,0,36,11,0,19,0,14,6,17,27,7,3,28,13,24,25,133,78,19,17,81,59
28,0,8,28,24,24,35,11,35,13,55,18,25,0,21,19,17,30,21,0,44,6,0,16,0,1,4,25,11,4,7,23,18,24,25,115,66,12,16,66,59
65,0,8,34,26,64,76,24,39,19,97,29,21,0,45,24,42,47,56,0,68,17,0,22,0,14,5,44,22,8,8,26,18,41,29,223,130,22,18,129,84
24,0,6,12,14,29,20,9,34,10,67,16,17,0,20,15,13,34,16,0,25,11,0,14,0,3,1,16,11,2,1,13,10,17,15,132,62,10,9,63,39
87,0,4,27,25,97,101,35,83,19,120,54,39,0,60,18,31,67,72,0,85,30,0,44,0,13,3,48,20,7,2,29,14,43,30,344,199,22,17,193,112
35,0,11,22,24,17,29,15,36,12,52,15,26,0,23,15,18,30,27,0,31,6,0,13,0,5,8,18,14,4,4,21,17,21,22,107,65,15,12,67,55
54,0,12,21,34,12,42,14,25,20,50,12,18,0,34,19,37,30,35,0,41,8,0,11,0,10,11,26,24,6,5,27,17,32,30,103,70,23,9,78,56
105,0,21,61,64,42,83,27,45,63,85,28,45,0,62,42,59,47,57,0,70,20,0,31,0,24,24,59,42,18,14,60,33,59,54,200,143,48,33,136,108
43,0,5,12,27,33,44,22,26,14,62,16,16,0,34,18,31,38,40,0,41,20,0,19,0,10,6,27,24,3,2,22,12,32,23,134,85,22,8,90,59
14,0,6,15,17,24,15,8,25,8,32,12,20,0,17,15,11,20,15,0,19,9,0,12,0,1,2,14,10,2,4,13,13,15,15,78,43,9,11,45,37
92,0,13,64,72,54,71,23,51,80,100,25,55,0,62,42,58,71,57,0,69,21,0,32,0,28,21,59,53,20,14,68,34,61,61,206,145,52,40,139,109
72,0,11,28,26,57,70,28,40,18,94,26,22,0,47,20,43,47,62,0,55,17,0,19,0,18,9,37,25,8,5,24,17,38,26,215,129,25,14,130,80
32,0,11,13,16,10,23,11,20,17,24,9,11,0,16,11,16,18,21,0,21,0,0,7,0,9,8,12,15,3,3,12,11,20,12,59,40,12,6,47,36
